ANO_ELEICAO;SG_UF;DS_CARGO;TP_AGREMIACAO;DS_COMPOSICAO_COLIGACAO
2008;PB;PREFEITO;COLIGACAO;PR / PTB / PSDB / PRP / PV / DEM
2008;MG;PREFEITO;COLIGACAO;PSB / PRTB / PTN / PSDC
2008;MG;PREFEITO;COLIGACAO;PMDB / PTB
2008;MG;PREFEITO;COLIGACAO;PTB / PSDB / PSC / PV / PSDC / PPS
2008;CE;PREFEITO;COLIGACAO;PRB / PDT / PTB / PPS / DEM / PSB / PSDB / PC do B
2008;PA;PREFEITO;COLIGACAO;PT / PSDC / PSB / PTB / PC do B / PRB / PP
2008;SP;PREFEITO;COLIGACAO;PMDB / PP / PT / PTB / PTN / PPS / PSDC / PRTB / PV / PRP / PSDB
2008;CE;PREFEITO;COLIGACAO;PR / PC do B
2008;SP;PREFEITO;COLIGACAO;PSDB / PR / PSB / PDT
2008;BA;PREFEITO;COLIGACAO;PT / PSDB / PPS / PC do B / PSL / PTB / PDT / PT do B / PSC / PV / PRB / PHS / PSB
2008;MT;PREFEITO;COLIGACAO;PT / PP / PR
2008;RJ;PREFEITO;COLIGACAO;PT / PMDB / PRB / PTB / PSC / PHS / PSDB / PT do B
2008;PR;PREFEITO;COLIGACAO;PSOL / PSTU
2008;BA;PREFEITO;COLIGACAO;PC do B / PTB / PSDB / PMDB
2008;AL;PREFEITO;COLIGACAO;PR / PTN / PP / PRTB / PV / PPS / PT
2008;RN;PREFEITO;COLIGACAO;PSB / PTB / DEM / PR / PT / PSDB
2008;RN;PREFEITO;COLIGACAO;PP / PSDB / PDT / DEM / PSB
2008;AM;PREFEITO;COLIGACAO;PPS / PTB / PSDB / DEM / PSC / PV / PC do B / PR / PT do B
2008;SP;PREFEITO;COLIGACAO;PSDB / PV / PHS / PSDC / PMN / PTB / PMDB / PRP / DEM / PSL / PSC
2008;MG;PREFEITO;COLIGACAO;PT / PSB / PTB / PP / PR / PV / PMN / PSC / PSL / PTN / PTC / PRP
2008;SP;PREFEITO;COLIGACAO;PR / PP / PSDB / PMDB / PDT / PV / DEM / PSC
2008;AC;PREFEITO;COLIGACAO;PC do B / PSL / PP / PRP / PT
2008;PE;PREFEITO;COLIGACAO;PR / PPS / PHS
2008;SP;PREFEITO;COLIGACAO;PSDB / PTB / PV
2008;SE;PREFEITO;COLIGACAO;PSC / PSL / PR / PTC / PSDB / PTN / PTB
2008;MT;PREFEITO;COLIGACAO;PP / PMDB / PDT / DEM / PPS
2008;PE;PREFEITO;COLIGACAO;PMDB / PSL / PPS / PV / PSDB / PT do B
2008;RJ;PREFEITO;COLIGACAO;PRB / PDT / PT / PTB / PPS / PSC / PHS / PMN / PV / PRP / PSDB / PT do B
2008;BA;PREFEITO;COLIGACAO;PT / PSC / PTB / PC do B / PSB / PV / PRP / PTC / PSL / PRTB / PP
2008;RO;PREFEITO;COLIGACAO;PTN / PSDC / PSDB / PMN / PPS / PSB
2008;MG;PREFEITO;COLIGACAO;PSL / PP / PRB / PT
2008;RO;PREFEITO;COLIGACAO;PT / PSB / PV / PC do B
2008;PE;PREFEITO;COLIGACAO;DEM / PSDC / PSDB / PT do B / PRP
2008;SP;PREFEITO;COLIGACAO;PSDB / DEM / PP
2008;MG;PREFEITO;COLIGACAO;PT / PSC / PTB / PSDB
2008;SP;PREFEITO;COLIGACAO;PSL / PHS / PMDB / PDT / DEM / PSB / PRB
2008;MG;PREFEITO;COLIGACAO;PP / PMDB / DEM / PPS
2008;GO;PREFEITO;COLIGACAO;PR / PTB / PMDB / PT / PPS
2008;MG;PREFEITO;COLIGACAO;PTB / PP / PSDB / DEM / PT
2008;MG;PREFEITO;COLIGACAO;PTC / PSDB / PSDC / PRB / PR / PSL
2008;TO;PREFEITO;COLIGACAO;PT / PMDB
2008;MS;PREFEITO;COLIGACAO;PDT / PR / DEM / PSDB
2008;MG;PREFEITO;COLIGACAO;PMDB / PSL / PSDB / PTC / PTB
2008;MT;PREFEITO;COLIGACAO;PR / PP / PMDB / PT
2008;BA;PREFEITO;COLIGACAO;PC do B / PSDB / PHS / PT / PSB
2008;BA;PREFEITO;COLIGACAO;PSDB / PRB
