ANO_ELEICAO;SG_UF;DS_CARGO;TP_AGREMIACAO;DS_COMPOSICAO_COLIGACAO
2008;SP;PREFEITO;COLIGACAO;PTB / PC do B / PT do B / PRP
2008;ES;PREFEITO;COLIGACAO;PMDB / PRB / PDT / PRTB / PC do B / PTC
2008;ES;PREFEITO;COLIGACAO;PMDB / PDT / PT / PPS / PT do B / PR / PMN / PV / PTB / DEM / PSDB
2008;PB;PREFEITO;COLIGACAO;PR / PMDB / PDT / DEM
2008;CE;PREFEITO;COLIGACAO;PT / PTB / PMDB / PR / PP / PRB
2008;SP;PREFEITO;COLIGACAO;PC do B / PTC / PTB / PV / PT do B / PSDC / PR / PP / PPS / PRB
2008;PE;PREFEITO;COLIGACAO;PT / PSB
2008;RS;PREFEITO;COLIGACAO;PTC / PP / PV / PPS / PT
2008;RS;PREFEITO;COLIGACAO;DEM / PP / PSC
2008;MG;PREFEITO;COLIGACAO;PT / PTB / PV
2008;AC;PREFEITO;COLIGACAO;PTN / PTB / PSDC / PP / PHS / PMN / PSB
2008;MG;PREFEITO;COLIGACAO;PTB / PP / PSDB / PDT / PV / DEM
2008;MG;PREFEITO;COLIGACAO;PP / PSDC / PDT / PSC
2008;MG;PREFEITO;COLIGACAO;PTB / PMDB / DEM / PT / PSC / PR / PSDB / PSB / PPS
2008;CE;PREFEITO;COLIGACAO;PRB / PSB
2008;SP;PREFEITO;COLIGACAO;PSDB / PMDB / DEM / PPS
2008;AL;PREFEITO;COLIGACAO;PR / PSL / PSDB / PRP / DEM / PSC
2008;AL;PREFEITO;COLIGACAO;PTC / PMDB / PMN / DEM
2008;MS;PREFEITO;COLIGACAO;PC do B / PDT / PMN / PTC / PV / PR / PSB / PHS / PRB
2008;MT;PREFEITO;COLIGACAO;PTN / PR / PMDB / PMN / PPS / PRB
2008;PB;PREFEITO;COLIGACAO;DEM / PSDB / PTN / PTB / PSDC / PDT / PTC / PP / PRP / PV
2008;PB;PREFEITO;COLIGACAO;PDT / PTB / PT
2008;MT;PREFEITO;COLIGACAO;PR / PP / PMDB / PDT / PT / PPS / PSB
2008;SE;PREFEITO;COLIGACAO;PSDB / PRP
2008;TO;PREFEITO;COLIGACAO;PMDB / DEM / PSB
2008;SP;PREFEITO;COLIGACAO;PR / PSDB / PMDB / PDT / PPS / PV / PT / DEM
2008;RN;PREFEITO;COLIGACAO;PTB / PP / PSDB / DEM / PMN / PPS / PSB
2008;SP;PREFEITO;COLIGACAO;PP / PR / PT do B / PTC / PRB
2008;CE;PREFEITO;COLIGACAO;PDT / PSL / PTB / PT / PSB / PSDB / PHS / PTN / PRB
2008;TO;PREFEITO;COLIGACAO;PR / PTB / PP / PSDB / PV / DEM / PSC / PT
2008;MG;PREFEITO;COLIGACAO;PRB / PP / PTB
2008;AL;PREFEITO;COLIGACAO;PTN / PR / PP / PRP
2008;AP;PREFEITO;COLIGACAO;PSL / PTB / PMDB / DEM / PV / PSB / PSDB / PRTB / PPS
2008;RN;PREFEITO;COLIGACAO;PC do B / PT
2008;GO;PREFEITO;COLIGACAO;PSDB / PDT / PRB
2008;PR;PREFEITO;COLIGACAO;PR / PTN / PP / PSDB / PV / DEM / PPS / PSC
2008;PR;PREFEITO;COLIGACAO;PMDB / PR / PC do B / PTB / DEM / PSDB / PDT / PT
2008;MG;PREFEITO;COLIGACAO;PSDB / PSDC / DEM / PP / PTC / PMN / PRP / PT do B / PSC
2008;MG;PREFEITO;COLIGACAO;PPS / PSB / PV / PSDB
2008;ES;PREFEITO;COLIGACAO;DEM / PTB / PDT / PP / PRTB / PMN / PRP
2008;SP;PREFEITO;COLIGACAO;PDT / PTB / PV / DEM / PT / PSB / PSDB / PP / PPS / PRB
2008;BA;PREFEITO;COLIGACAO;PTB / DEM
2008;BA;PREFEITO;COLIGACAO;PR / PTB / PSDB / PRP / PRB / DEM / PSC
2008;BA;PREFEITO;COLIGACAO;PRP / PC do B / PMDB / PP / PDT / PSDB
2008;BA;PREFEITO;COLIGACAO;PT / PMDB / PSC / PPS / PC do B
2008;RO;PREFEITO;COLIGACAO;PDT / PSL / PTB / DEM / PV / PT do B / PSDC / PR / PSDB / PTN / PPS / PSB
2008;RS;PREFEITO;COLIGACAO;PDT / PT
2008;PA;PREFEITO;COLIGACAO;PDT / PRP / PSC / PPS / PT do B / PR / PTB / PP / PSB
2008;PR;PREFEITO;COLIGACAO;PP / PSDB / PMDB / PDT / DEM / PT / PSC / PSB
2008;MT;PREFEITO;COLIGACAO;PR / PSDB / PRB / PT
2008;SP;PREFEITO;COLIGACAO;PDT / PTB / PMDB / PV / PT / PSDC / PSB / PP / PHS / PPS / PRB
2008;PI;PREFEITO;COLIGACAO;PC do B / PR / PSDC / PMDB / PT do B / PPS / PSC / PT
2008;MG;PREFEITO;COLIGACAO;PTN / PR / PMDB / PT / PSC
2008;TO;PREFEITO;COLIGACAO;PR / PTB / PP / PSDB / PV / PT / PSC / PSB
2008;SP;PREFEITO;COLIGACAO;PTB / PHS / PMDB / PDT / PSC
2008;CE;PREFEITO;COLIGACAO;PTB / PHS / PMDB / PDT / PV / PRB / PT / PSB
2008;PR;PREFEITO;COLIGACAO;PC do B / PP / PHS / PDT / DEM / PPS
2008;PA;PREFEITO;COLIGACAO;PSL / PTC / PTB / PP
2008;MG;PREFEITO;COLIGACAO;PPS / PP / PC do B / PDT / PRB / PTN / PR / DEM / PRTB / PHS / PMN / PSDB
2008;MG;PREFEITO;COLIGACAO;PT / PTB / PSC / PPS / PHS / PTC / PSDB
2008;MG;PREFEITO;COLIGACAO;PP / PT / PTC
2008;MT;PREFEITO;COLIGACAO;PR / PMDB / PT / PSB
2008;CE;PREFEITO;COLIGACAO;PSL / PR / PDT / PT
2008;SP;PREFEITO;COLIGACAO;PR / PTB / PP / PMDB / PV
2008;AM;PREFEITO;COLIGACAO;PR / PMDB / PRTB / PRB / PT / PSC / PSB
2008;MG;PREFEITO;COLIGACAO;PTB / PSDB / PV
2008;SP;PREFEITO;COLIGACAO;PPS / PP / PR / PT / PSB / DEM / PV
2008;PE;PREFEITO;COLIGACAO;PC do B / PMN / PCB / PTB / PV / PT / PSDC / PSC / PR / PSB / PP / PTN / PRTB / PT do B
2008;SP;PREFEITO;COLIGACAO;PDT / PSL / PTB / PMDB / PRP / DEM / PSB / PSDB / PP / PHS / PRTB / PRB
2008;CE;PREFEITO;COLIGACAO;PSDB / PRB / PSDC / PSB
2008;RN;PREFEITO;COLIGACAO;PTB / PSL / PR / PPS / DEM / PHS / PMN / PSB
2008;PE;PREFEITO;COLIGACAO;PTB / PP / PT / DEM / PMN / PSDB
2008;MA;PREFEITO;COLIGACAO;PRB / PP / PDT / PT / PMDB / PSB / PSDB / PC do B / PT do B
2008;AL;PREFEITO;COLIGACAO;PSC / PSB / PTN
2008;PR;PREFEITO;COLIGACAO;PSC / PT
2008;GO;PREFEITO;COLIGACAO;PTC / PTN / PP / DEM
2008;MA;PREFEITO;COLIGACAO;PC do B / PMN / PT do B / PT / PSB / PSDB / PP / PHS / PRTB
2008;MT;PREFEITO;COLIGACAO;DEM / PMDB / PP / PT / PSB / PR
2008;SP;PREFEITO;COLIGACAO;PSDB / PTB / DEM / PSB / PV / PRTB / PRB / PDT
2008;SP;PREFEITO;COLIGACAO;PDT / PP / PRB / PV / PMDB / PSB / PSC
2008;BA;PREFEITO;COLIGACAO;PDT / PT / PTB / PSC / PSB / PV
2008;BA;PREFEITO;COLIGACAO;PTN / PR / DEM / PSB
2008;MG;PREFEITO;COLIGACAO;PDT / PT / PSB
2008;BA;PREFEITO;COLIGACAO;PT / PTB / PMDB / PPS / PSB / PC do B
2008;MA;PREFEITO;COLIGACAO;PRTB / PSC / PTB / PT / PRP / PSL / PSDC
2008;RJ;PREFEITO;COLIGACAO;PC do B / PDT / PMDB / PRP / PV / PT / PSC / PR / PSB / PSDB / PP / PHS / PRB
2008;CE;PREFEITO;COLIGACAO;PP / PHS / PMDB / PV / PRB / PT / PSB
2008;PR;PREFEITO;COLIGACAO;PMDB / PP / PTB / DEM / PT / PR / PSDB
2008;PR;PREFEITO;COLIGACAO;PDT / PTB / PSC
2008;MG;PREFEITO;COLIGACAO;PSDB / PP / PDT / PR / PTB / PMDB / PSB / PT / DEM / PPS / PV / PTN
2008;RN;PREFEITO;COLIGACAO;PC do B / PHS / PRB / PSC / PSB
2008;PA;PREFEITO;COLIGACAO;PTN / PC do B / PHS / PMN / PT / PSB
2008;MG;PREFEITO;COLIGACAO;PTB / PSDB / PV / PT / PSB
2008;AL;PREFEITO;COLIGACAO;PTN / PV / PT
2008;PR;PREFEITO;COLIGACAO;PP / PDT / PTB / PPS / DEM / PSB / PSDB
2008;PR;PREFEITO;COLIGACAO;PMDB / PP / DEM / PPS / PTB / PT do B / PSC / PSL / PTN / PT / PHS / PSDC / PMN / PV / PRTB / PTC / PCB / PC do B
2008;CE;PREFEITO;COLIGACAO;PP / PTB / PSL / PTN / PPS / PHS / PSB / PV / PC do B
2008;MT;PREFEITO;COLIGACAO;PTB / PSDC / PSDB / PMN / DEM
2008;MG;PREFEITO;COLIGACAO;PC do B / PMDB / PRP / DEM / PV / PSC / PSDC / PSDB / PP
2008;MG;PREFEITO;COLIGACAO;PSL / PTC / PTB / PRP / DEM / PT / PSC / PSDC / PSB / PSDB / PPS / PRB
2008;ES;PREFEITO;COLIGACAO;PRTB / PRB / PSB
2008;GO;PREFEITO;COLIGACAO;PSDB / PR / PV / DEM / PPS
2008;RR;PREFEITO;COLIGACAO;PMDB / DEM / PTC / PR / PV / PTN
2008;BA;PREFEITO;COLIGACAO;PSDC / PPS / PTB
2008;RS;PREFEITO;COLIGACAO;PTB / PP
2008;RS;PREFEITO;COLIGACAO;PP / PSDB / PDT / DEM / PMDB / PPS
2008;PE;PREFEITO;COLIGACAO;PMDB / DEM / PSDB / PC do B
2008;RS;PREFEITO;COLIGACAO;PTB / PP / PSDB
2008;SP;PREFEITO;COLIGACAO;PSDB / PSC / PPS
2008;PA;PREFEITO;COLIGACAO;PR / PRP / PT do B / PSDB / PSC
2008;SP;PREFEITO;COLIGACAO;PSDB / PPS / PR / PTN / PTB / PDT
2008;SP;PREFEITO;COLIGACAO;PSDB / PMDB / PSB
2008;MG;PREFEITO;COLIGACAO;PTB / PP / PSDB / PMDB / PPS
2008;PR;PREFEITO;COLIGACAO;PDT / PSDB / PSB / PRB / PP / PTB / PSL / PR / PPS / DEM / PV
2008;SC;PREFEITO;COLIGACAO;PSDB / DEM / PPS
2008;AL;PREFEITO;COLIGACAO;PTB / PR / PRP / DEM / PP / PSDC / PMN / PRTB
2008;PA;PREFEITO;COLIGACAO;PTC / PR / PRTB / PDT / PT / PSC / PSDC
2008;PE;PREFEITO;COLIGACAO;PSL / PHS / PV
2008;RN;PREFEITO;COLIGACAO;PSDB / PMDB / PV / PT do B / PT / PPS
2008;MG;PREFEITO;COLIGACAO;PDT / PMDB / PSB / PTB / PV
2008;PE;PREFEITO;COLIGACAO;PR / PTC / PV
2008;PR;PREFEITO;COLIGACAO;PDT / PMDB / PTB / PSC / PPS / DEM
2008;MA;PREFEITO;COLIGACAO;PTB / PP / PSDC / PDT
2008;ES;PREFEITO;COLIGACAO;PDT / PTB / PMDB / PT / PSC / PSDB / PHS / PRTB / PPS
2008;MG;PREFEITO;COLIGACAO;PSDB / PMDB
2008;PA;PREFEITO;COLIGACAO;PSDB / PR / PV / PDT / DEM
2008;ES;PREFEITO;COLIGACAO;PP / PSDB / DEM / PMN / PPS
2008;TO;PREFEITO;COLIGACAO;PMDB / PPS / PT
2008;MG;PREFEITO;COLIGACAO;PR / DEM / PSDB / PT / PTB
2008;MG;PREFEITO;COLIGACAO;PSDB / PDT / PV / PMDB
2008;RO;PREFEITO;COLIGACAO;PTB / PMDB / PTN / PR / DEM / PSDC / PV
2008;RO;PREFEITO;COLIGACAO;PR / PSDB / PT do B
2008;MG;PREFEITO;COLIGACAO;PSDB / DEM / PR / PV / PP
2008;MG;PREFEITO;COLIGACAO;PHS / PTB
2008;BA;PREFEITO;COLIGACAO;PMDB / PT / PP / PSDB / PC do B
2008;AL;PREFEITO;COLIGACAO;PP / DEM / PMN / PV
2008;TO;PREFEITO;COLIGACAO;PSL / PPS / PSB
2008;RN;PREFEITO;COLIGACAO;PR / PSDB / PHS / PV / DEM / PMN / PSB
2008;PB;PREFEITO;COLIGACAO;PDT / PPS / PTN / PSB / PT
2008;MG;PREFEITO;COLIGACAO;PR / PT / PRP / PPS / PP / PSL
2008;BA;PREFEITO;COLIGACAO;PT / PDT / PP / PPS / PSB / PV / PSDB / PT do B
2008;PA;PREFEITO;COLIGACAO;PTN / PTB / PMDB / PV / PT do B / DEM / PSC
2008;AL;PREFEITO;COLIGACAO;PTN / PP / PSDB / PMN / PPS / PT / PSB
2008;CE;PREFEITO;COLIGACAO;PMN / PT / PPS / PSB / PHS / PR / PSDC / PRB
2008;MG;PREFEITO;COLIGACAO;PP / PSDB / PMDB
2008;MG;PREFEITO;COLIGACAO;PDT / PRTB / PMN / PTC
2008;SP;PREFEITO;COLIGACAO;PMDB / PSB / PT / PDT / PTB / DEM / PMN / PTC / PSC / PP / PSDC / PRB
2008;MG;PREFEITO;COLIGACAO;PP / PSDB / PR / DEM
2008;BA;PREFEITO;COLIGACAO;PT / PSDB / PPS / PC do B / PSL / PTB / PDT / PT do B / PSC / PV / PRB / PHS / PSB
2008;RN;PREFEITO;COLIGACAO;PPS / PMDB / PDT / PSDB / PT / PTC / PC do B / DEM
2008;PB;PREFEITO;COLIGACAO;PTC / PC do B / PTN / PTB / PMN / DEM / PPS / PSB
2008;CE;PREFEITO;COLIGACAO;PC do B / PSDB / PRP / PPS / PSB
2008;PR;PREFEITO;COLIGACAO;PP / PMDB / PMN / PTB / PRP / DEM / PSDC / PR / PSDB / PSB
2008;RS;PREFEITO;COLIGACAO;PTB / PSB / PMDB / DEM
2008;RS;PREFEITO;COLIGACAO;PMDB / DEM
2008;PA;PREFEITO;COLIGACAO;PMDB / PR / PRB / PRTB / PP / PTB
2008;SP;PREFEITO;COLIGACAO;PP / PDT / PT / PTB / PMDB / PSB
2008;BA;PREFEITO;COLIGACAO;PT do B / PTC / PMN / DEM / PP / PHS
2008;SP;PREFEITO;COLIGACAO;PMDB / DEM / PSDB / PDT / PSC / PRP / PT
2008;MG;PREFEITO;COLIGACAO;PV / PP / PMDB / PSDB / PTB / PHS / PRTB
2008;SC;PREFEITO;COLIGACAO;PPS / PMDB / PSB / PP / PTB / PDT / PSDB
2008;MA;PREFEITO;COLIGACAO;PSC / PCB / PT do B
2008;SP;PREFEITO;COLIGACAO;PR / PSDB / PMDB / PDT / PSB
2008;MA;PREFEITO;COLIGACAO;PTB / PR / PMDB / PP / PSL
2008;SC;PREFEITO;COLIGACAO;PMDB / DEM / PT
2008;PE;PREFEITO;COLIGACAO;PC do B / PSDC / DEM / PPS
2008;RO;PREFEITO;COLIGACAO;PPS / PR / PV / PSDC / PMDB
2008;PE;PREFEITO;COLIGACAO;PR / PTN / PP / PSDC / PHS / PRP / PDT / PRB
2008;MG;PREFEITO;COLIGACAO;PMDB / PT / DEM / PPS / PDT
2008;MA;PREFEITO;COLIGACAO;PSL / PR / PP / PSDB / PDT / PT / PSB
2008;PI;PREFEITO;COLIGACAO;PDT / PMN / PCB / PTC / DEM / PSB / PSDB / PP / PPS
2008;ES;PREFEITO;COLIGACAO;PMDB / PSB / PMN / PV / PT / PRB
2008;PA;PREFEITO;COLIGACAO;PMDB / PDT / PT
2008;AL;PREFEITO;COLIGACAO;PP / PMDB / PDT / PSB / PT do B / PRP / PTC / DEM / PRTB
2008;BA;PREFEITO;COLIGACAO;PR / PSL / PP / PHS / PMN
2008;MA;PREFEITO;COLIGACAO;PRB / PDT / PC do B / PSB / PMN
2008;SC;PREFEITO;COLIGACAO;PC do B / PR / PMDB / PPS
2008;PA;PREFEITO;COLIGACAO;PMDB / PT / PP / PSC / PSB / PRB / PDT
2008;PA;PREFEITO;COLIGACAO;PMDB / PTB / PSB / PT / PC do B
2008;RN;PREFEITO;COLIGACAO;PTN / PR / PTB / PSDB / PMDB / PPS
2008;AC;PREFEITO;COLIGACAO;PRB / PP / PT / PMDB / PTN / PR / PSB / PRP / PC do B / PT do B
2008;PR;PREFEITO;COLIGACAO;PSDB / PSL / PTB / PR / DEM / PT do B / PT
2008;MG;PREFEITO;COLIGACAO;PDT / PTB / DEM / PT / PSC / PSDB / PSB / PP / PHS / PRTB / PPS
2008;PR;PREFEITO;COLIGACAO;PSC / PMN / PSB / PSL
2008;PB;PREFEITO;COLIGACAO;PPS / PT / PP / PSB / PV
2008;TO;PREFEITO;COLIGACAO;PMN / PTB / DEM / PV / PSC / PR / PSDB / PP
2008;MG;PREFEITO;COLIGACAO;PSDB / PV / DEM
2008;CE;PREFEITO;COLIGACAO;PP / PTN / PC do B / PR / PPS / PSDB / PSDC / PTB / PSL
2008;MG;PREFEITO;COLIGACAO;PTC / PR / PP / PSDB / PMDB / PDT / PRB / PSB
2008;CE;PREFEITO;COLIGACAO;PR / PMDB / DEM / PT / PSB
2008;MS;PREFEITO;COLIGACAO;PTB / PMDB / PT / PR / PSDB / PP / PHS / PPS / PSC / DEM
2008;SC;PREFEITO;COLIGACAO;DEM / PMDB
2008;PI;PREFEITO;COLIGACAO;PP / DEM / PMDB / PT / PMN / PCB / PSB
2008;PI;PREFEITO;COLIGACAO;PMDB / PRB / PR / PSDC
2008;PI;PREFEITO;COLIGACAO;PTB / PMDB / PSB
2008;PI;PREFEITO;COLIGACAO;PMDB / PSC / PPS / DEM / PC do B
2008;MG;PREFEITO;COLIGACAO;PMDB / PSB
2008;PR;PREFEITO;COLIGACAO;PTB / PT
2008;SP;PREFEITO;COLIGACAO;PTC / PHS / PMDB / PDT / PRTB / PT do B / PPS
2008;PB;PREFEITO;COLIGACAO;PDT / PTB / PTN / PSC / PPS / PSB
2008;MG;PREFEITO;COLIGACAO;PR / PSDB / PDT / PV / PRB / PSC / PPS / PTB / PSB
2008;MG;PREFEITO;COLIGACAO;PSL / PTB / DEM
2008;PA;PREFEITO;COLIGACAO;PSDB / PSB / PV / PRB / PTB / PR
2008;ES;PREFEITO;COLIGACAO;PDT / PMDB / DEM / PV / PSC / PR / PSB / PSDB / PP / PRB / PTB
2008;GO;PREFEITO;COLIGACAO;PMDB / PDT / DEM
2008;MT;PREFEITO;COLIGACAO;PR / PTB / PP / PHS / PMDB / PDT / DEM
2008;BA;PREFEITO;COLIGACAO;PR / DEM / PRP / PC do B / PTB
2008;MG;PREFEITO;COLIGACAO;PT / PTC / PPS / PC do B
2008;RS;PREFEITO;COLIGACAO;PMDB / PDT / PTB / PP / PHS / PSDB / PSB / PPS / PSC / DEM / PR / PRB / PV / PSDC
2008;MT;PREFEITO;COLIGACAO;PT / PPS / PSB / PSDB
2008;SP;PREFEITO;COLIGACAO;PTB / PSC / PSDB
2008;BA;PREFEITO;COLIGACAO;PTC / PSDC / PMDB / PRTB / DEM / PRB
2008;MG;PREFEITO;COLIGACAO;PMDB / PDT / PTB / PV / PT do B / PT / PSDB / PPS / PRB / PC do B
2008;PB;PREFEITO;COLIGACAO;PDT / PP / PMDB
2008;PB;PREFEITO;COLIGACAO;PSDB / PSB / PC do B / DEM / PTB / PR / PPS / PMN / PDT / PTC / PP / PT / PTN
2008;PA;PREFEITO;COLIGACAO;PC do B / PDT / PMN / PTB / PMDB / PT / PSB / PPS / PRB / PSC / PR / PP
2008;BA;PREFEITO;COLIGACAO;PSDB / PPS
2008;PB;PREFEITO;COLIGACAO;PSDB / DEM / PMN / PRB / PP / PSC / PPS / PV / PHS / PTC / PR / PT do B
2008;PI;PREFEITO;COLIGACAO;PTB / PP / DEM / PSB
2008;TO;PREFEITO;COLIGACAO;PT / PSDB / PR / PTB / PP
2008;PI;PREFEITO;COLIGACAO;PMDB / PSL / PCB / PSDC / PRTB / PMN / PC do B / PT do B / PRB / PP / PDT / PTB / PV / PSDB
2008;SP;PREFEITO;COLIGACAO;PP / PV
2008;BA;PREFEITO;COLIGACAO;PSB / PV / PSDB / PC do B
2008;AL;PREFEITO;COLIGACAO;PTB / PP / DEM / PPS
2008;MG;PREFEITO;COLIGACAO;PR / PP / PRB / PMDB / DEM
2008;CE;PREFEITO;COLIGACAO;PC do B / PRB / PT
2008;PR;PREFEITO;COLIGACAO;PC do B / PTB / PP / PSDB / PRB / DEM
2008;SC;PREFEITO;COLIGACAO;PSDB / PRB / PT / PTB / PMDB / PR / PPS / DEM / PSB
2008;PR;PREFEITO;COLIGACAO;PSB / PSDB / PDT / PR / PRB / PRP
2008;MG;PREFEITO;COLIGACAO;PR / PSDB / PMDB / DEM / PT
2008;PI;PREFEITO;COLIGACAO;PSDB / PMDB / PT
2008;MG;PREFEITO;COLIGACAO;PPS / PT / PRB
2008;MG;PREFEITO;COLIGACAO;PPS / PSB / PV / PSDB
2008;MG;PREFEITO;COLIGACAO;PTB / PP / PMDB / PPS
2008;AP;PREFEITO;COLIGACAO;PSL / PSDB / PMDB / PV / PSB
2008;MG;PREFEITO;COLIGACAO;PMDB / PT / PSL / PR / DEM / PTB
2008;AP;PREFEITO;COLIGACAO;PR / DEM / PSB
2008;MG;PREFEITO;COLIGACAO;PR / PTB / PP / PSDB / PDT / PV / PPS
2008;MT;PREFEITO;COLIGACAO;PTB / PP / PSDB / PSOL / PHS / PDT / DEM
2008;CE;PREFEITO;COLIGACAO;PP / PSDB / PHS / PDT
2008;TO;PREFEITO;COLIGACAO;DEM / PMDB / PRB
2008;CE;PREFEITO;COLIGACAO;PC do B / PR / PTB / PMDB / DEM
2008;SE;PREFEITO;COLIGACAO;PRB / PDT / PT / PSL / PTN / PSC / PR / PPS / PSDC / PMN / PSB / PRP / PSDB / PC do B
2008;AL;PREFEITO;COLIGACAO;PC do B / PDT / PMN / PSL / PTC / PTB / PRP / PV / DEM / PT do B / PSC / PSB / PRTB / PPS / PRB
2008;BA;PREFEITO;COLIGACAO;DEM / PHS / PTB
2008;PB;PREFEITO;COLIGACAO;PCB / PTC / PMDB / PRP / DEM / PV / PSC / PSDC / PSDB / PP / PHS / PPS
2008;AL;PREFEITO;COLIGACAO;PSL / PTC / PTB / PSDB / PPS
2008;SP;PREFEITO;COLIGACAO;PC do B / PDT / PMDB / DEM / PV / PT / PSDC / PR / PP / PPS / PSB
2008;SP;PREFEITO;COLIGACAO;PSL / PR / PHS / PDT / PSC
2008;PB;PREFEITO;COLIGACAO;PDT / PT / PMDB / DEM / PSB
2008;MG;PREFEITO;COLIGACAO;PTN / PTB / PP / PSDB / PRP / PDT / DEM / PSC
2008;SP;PREFEITO;COLIGACAO;PSDB / PPS / PHS / PSL / PTN / PRTB / PV / PR / PC do B
2008;SC;PREFEITO;COLIGACAO;PTB / PP / PT
2008;CE;PREFEITO;COLIGACAO;PC do B / PDT / PT / PSB
2008;MG;PREFEITO;COLIGACAO;PSL / PTC / PR / PTB
2008;RJ;PREFEITO;COLIGACAO;PR / PTC / PHS / PMDB / PDT / PV / DEM / PMN
2008;MG;PREFEITO;COLIGACAO;PTC / DEM / PC do B
2008;PA;PREFEITO;COLIGACAO;PTB / PP / PDT / PT / PSB / PSDB
2008;PR;PREFEITO;COLIGACAO;PMDB / PRB / PR / PRP / PP
2008;PR;PREFEITO;COLIGACAO;PDT / PCB / PTC / PT do B / PSC / PSDC / PSB / PSDB
2008;MA;PREFEITO;COLIGACAO;PRTB / PT / PV
2008;PI;PREFEITO;COLIGACAO;PMDB / PMN / PPS / PSB
2008;RO;PREFEITO;COLIGACAO;PDT / PT
