ANO_ELEICAO;SG_UF;DS_CARGO;TP_AGREMIACAO;DS_COMPOSICAO_COLIGACAO;NM_UE
2000;SP;PREFEITO;COLIGA플O;PL / PPS;CAPAO BONITO
2000;PI;PREFEITO;COLIGA플O;PDT / PL / PFL / PPS / PSDB ;REGENERACAO
2000;PI;PREFEITO;COLIGA플O;PMDB / PTB / PDT / PSB / PV / PSDB ;SAO JOAO DO PIAUI
2000;MT;PREFEITO;COLIGA플O;PMDB / PDT / PT ;VILA RICA
2000;PA;PREFEITO;COLIGA플O;PL / PSB / PT do B / PC do B;SAO JOAO DE PIRABAS
2000;MS;PREFEITO;COLIGA플O;PSDB / PDT / PPS / PSB / PC do B;CAARAPO
2000;MS;PREFEITO;COLIGA플O;PDT / PFL / PT / PTB / PL / PSB / PMN / PPB / PRP;COXIM
2000;MT;PREFEITO;COLIGA플O;PPB / PFL / PPS ;NOVA BRASILANDIA
2000;AM;PREFEITO;COLIGA플O;PTB / PFL / PSL / PSDC / PT do B / PMN / PV / PSC ;CAREIRO
2000;PI;PREFEITO;COLIGA플O;PMDB / PSDB / PPB ;CARACOL
2000;PI;PREFEITO;COLIGA플O;PSDB / PPB / PDT / PPS ;FARTURA DO PIAUI
2000;PI;PREFEITO;COLIGA플O;PPS / PFL ;CAMPO GRANDE DO PIAUI
2000;PI;PREFEITO;COLIGA플O;PFL / PSDB / PTB ;FLORES DO PIAUI
2000;RJ;PREFEITO;COLIGA플O;PDT / PT / PGT / PSB ;PARACAMBI
2000;PI;PREFEITO;COLIGA플O;PMDB / PSDB / PTB / PL ;BURITI DOS LOPES
2000;PI;PREFEITO;COLIGA플O;PSDB / PMDB / PPB;ELESBAO VELOSO
2000;RJ;PREFEITO;COLIGA플O;PPB / PFL / PSDB / PC do B / PV;RIO BONITO
2000;MA;PREFEITO;COLIGA플O;PFL / PMDB / PRP / PTB ;ITAIPAVA DO GRAJAU
2000;MA;PREFEITO;COLIGA플O;PFL / PMDB ;LAGOA DO MATO
2000;MA;PREFEITO;COLIGA플O;PSD / PFL / PSDB / PDT / PTB ;SITIO NOVO
2000;GO;PREFEITO;COLIGA플O;PFL / PTB / PL / PSDB ;EDEALINA
2000;CE;PREFEITO;COLIGA플O;PPB / PMDB ;BAIXIO
2000;AM;PREFEITO;COLIGA플O;PMDB / PTN / PT / PSL / PPB / PPS / PC do B / PAN / PL / PSB ;BARCELOS
2000;MG;PREFEITO;COLIGA플O;PT / PTB / PL / PCO / PC do B / PRP / PGT / PTN;ITAUNA
2000;SP;PREFEITO;COLIGA플O;PSDB / PSC / PSD / PSL / PT do B ;ITU
2000;SP;PREFEITO;COLIGA플O;PMDB / PSB / PPB / PV / PRONA / PHS / PRP / PST / PMN ;ITU
2000;MA;PREFEITO;COLIGA플O;PPB / PL / PMDB / PTN / PSC / PSL / PTB / PPS / PAN / PRTB / PT do B;TURILANDIA
2000;MA;PREFEITO;COLIGA플O;PPB / PL / PFL;PIRAPEMAS
2000;MA;PREFEITO;COLIGA플O;PSC / PSD ;PRESIDENTE VARGAS
2000;BA;PREFEITO;COLIGA플O;PMDB / PRONA / PMN / PRP;MEDEIROS NETO
2000;BA;PREFEITO;COLIGA플O;PSB / PMN / PDT / PT / PHS / PC do B;ITABELA
2000;BA;PREFEITO;COLIGA플O;PRP / PAN / PT do B / PRN / PSD / PSDC ;ITABUNA
2000;BA;PREFEITO;COLIGA플O;PPB / PMDB / PL;NOVA REDENCAO
2000;BA;PREFEITO;COLIGA플O;PFL / PPB / PSD / PMDB / PTN ;ITAGI
2000;TO;PREFEITO;COLIGA플O;PPB / PSDB / PMDB ;ANGICO
2000;TO;PREFEITO;COLIGA플O;PFL / PSDB ;GOIATINS
2000;RS;PREFEITO;COLIGA플O;PPB / PTB / PMDB / PL / PFL / PHS / PSDB ;GRAVATAI
2000;RS;PREFEITO;COLIGA플O;PMDB / PTB ;LINDOLFO COLLOR
2000;TO;PREFEITO;COLIGA플O;PDT / PMDB / PST ;BABACULANDIA
2000;TO;PREFEITO;COLIGA플O;PFL / PTB / PSB ;PEQUIZEIRO
2000;PI;PREFEITO;COLIGA플O;PDT / PL / PFL / PPS / PSDB ;REGENERACAO
2000;PI;PREFEITO;COLIGA플O;PFL / PL / PTB ;SANTO ANTONIO DE LISBOA
2000;PA;PREFEITO;COLIGA플O;PTB / PSD / PT do B;ALENQUER
2000;RO;PREFEITO;COLIGA플O;PSL / PRONA;PORTO VELHO
2000;PR;PREFEITO;COLIGA플O;PMDB / PT / PDT / PSL ;GOIOXIM
2000;PR;PREFEITO;COLIGA플O;PSB / PRP ;DIAMANTE DO NORTE
2000;PI;PREFEITO;COLIGA플O;PDT / PPS / PRP;GUADALUPE
2000;RO;PREFEITO;COLIGA플O;PTB / PDT / PL / PFL ;CACAULANDIA
2000;RO;PREFEITO;COLIGA플O;PSDB / PFL / PMDB / PPB / PTB / PV ;RIO CRESPO
2000;RO;PREFEITO;COLIGA플O;PMDB / PPS / PDT / PPB / PMN / PSDB / PV ;NOVO HORIZONTE DO OESTE
2000;PA;PREFEITO;COLIGA플O;PSDB / PTB / PPB / PDT ;PARAGOMINAS
2000;PR;PREFEITO;COLIGA플O;PFL / PSDB / PDT ;CAFELANDIA
2000;PR;PREFEITO;COLIGA플O;PSDB / PSDC ;RIO NEGRO
2000;MG;PREFEITO;COLIGA플O;PSC / PTB / PSDC / PSB ;SAO JOSE DA VARGINHA
2000;BA;PREFEITO;COLIGA플O;PFL / PL / PSD;JACOBINA
2000;BA;PREFEITO;COLIGA플O;PPB / PMDB / PL / PSDB / PRTB / PSB / PSL / PSD / PRP / PRONA / PT do B ;JEQUIE
2000;TO;PREFEITO;COLIGA플O;PL / PTB ;LUZINOPOLIS
2000;TO;PREFEITO;COLIGA플O;PL / PPB ;SANTA RITA DO TOCANTINS
2000;BA;PREFEITO;COLIGA플O;PMDB / PSL / PL / PFL ;LENCOIS
2000;MG;PREFEITO;COLIGA플O;PPB / PDT / PMDB / PAN / PSDC ;BOCAIUVA
2000;SC;PREFEITO;COLIGA플O;PFL / PV / PPB / PL / PPS;IMARUI
2000;GO;PREFEITO;COLIGA플O;PMDB / PST ;PIRACANJUBA
2000;PE;PREFEITO;COLIGA플O;PMDB / PPS / PT / PSB ;IPUBI
2000;SP;PREFEITO;COLIGA플O;PDT / PMDB / PV / PMN / PSC / PRTB / PT do B / PTB ;ARACATUBA
2000;SP;PREFEITO;COLIGA플O;PFL / PRONA / PPB / PAN / PSB / PTN / PRN ;ARACATUBA
2000;MT;PREFEITO;COLIGA플O;PTB / PPS / PPB / PSDB;POXOREO
2000;MT;PREFEITO;COLIGA플O;PSDB / PPB / PL / PFL / PTB / PSB / PAN / PSL / PSD / PMN;RONDONOPOLIS
2000;PE;PREFEITO;COLIGA플O;PPS / PDT / PSL / PTB / PRTB / PC do B / PSD ;SAO LOURENCO DA MATA
2000;PE;PREFEITO;COLIGA플O;PSDB / PPB / PPS;TACAIMBO
2000;SP;PREFEITO;COLIGA플O;PPS / PDT / PSD / PSB / PT ;ITATIBA
2000;PE;PREFEITO;COLIGA플O;PSL / PFL / PL / PSDB / PSD / PTB ;SANTA MARIA DA BOA VISTA
2000;RJ;PREFEITO;COLIGA플O;PDT / PMDB / PFL / PPB / PAN / PT do B / PSB / PGT;MAGE
2000;MG;PREFEITO;COLIGA플O;PPB / PTB / PFL ;INDAIABIRA
2000;AL;PREFEITO;COLIGA플O;PSB / PSDB / PAN / PSDC / PRONA / PST / PT do B / PHS / PRP / PSC / PSD / PTN;MACEIO
2000;PA;PREFEITO;COLIGA플O;PMDB / PDT / PSB / PT;OEIRAS DO PARA
2000;PA;PREFEITO;COLIGA플O;PTB / PDT / PPB / PPS / PSC ;SANTA MARIA DO PARA
2000;SP;PREFEITO;COLIGA플O;PMDB / PSB ;PRADOPOLIS
2000;TO;PREFEITO;COLIGA플O;PMDB / PPB / PL ;AGUIARNOPOLIS
2000;BA;PREFEITO;COLIGA플O;PMDB / PPB;MUNDO NOVO
2000;BA;PREFEITO;COLIGA플O;PTB / PPB ;MIRANGABA
2000;BA;PREFEITO;COLIGA플O;PSB / PMN / PDT / PT / PHS / PC do B;ITABELA
2000;MA;PREFEITO;COLIGA플O;PTB / PSL / PFL / PSDB / PPB ;TUTOIA
2000;MA;PREFEITO;COLIGA플O;PTB / PSDB / PL ;VARGEM GRANDE
2000;BA;PREFEITO;COLIGA플O;PMDB / PL / PTB / PPB / PC do B ;BARRA DA ESTIVA
2000;RS;PREFEITO;COLIGA플O;PPB / PMDB / PFL / PT do B / PHS;QUARAI
2000;RS;PREFEITO;COLIGA플O;PMDB / PSB ;REDENTORA
2000;TO;PREFEITO;COLIGA플O;PL / PMDB / PT / PTB / PSDB / PPB ;NOVA OLINDA
2000;BA;PREFEITO;COLIGA플O;PFL / PPB / PTB / PMDB / PSC / PSDC / PAN / PL / PRP / PSD / PSL / PT do B / PST;JUAZEIRO
2000;BA;PREFEITO;COLIGA플O;PMDB / PSDB ;MAIRI
2000;SC;PREFEITO;COLIGA플O;PDT / PMDB / PPB;IPIRA
2000;SC;PREFEITO;COLIGA플O;PFL / PTB / PSDB ;SANTA TEREZINHA DO PROGRESSO
2000;SC;PREFEITO;COLIGA플O;PPB / PFL / PSDB / PDT / PT / PPS;JABORA
2000;SC;PREFEITO;COLIGA플O;PT / PMDB ;JACINTO MACHADO
2000;GO;PREFEITO;COLIGA플O;PSDB / PPB / PSD / PST / PT / PC do B / PFL / PTB / PL ;PALMEIRAS DE GOIAS
2000;RO;PREFEITO;COLIGA플O;PTB / PDT / PL / PFL ;CACAULANDIA
2000;RO;PREFEITO;COLIGA플O;PPB / PFL / PL ;MIRANTE DA SERRA
2000;RO;PREFEITO;COLIGA플O;PFL / PDT / PPS ;CAMPO NOVO DE RONDONIA
2000;RO;PREFEITO;COLIGA플O;PT / PDT ;VALE DO ANARI
2000;RJ;PREFEITO;COLIGA플O;PDT / PL / PV;SANTA MARIA MADALENA
2000;SE;PREFEITO;COLIGA플O;PFL / PMDB / PSB / PTB / PSD / PPB ;POCO REDONDO
2000;RN;PREFEITO;COLIGA플O;PPS / PSDB / PFL ;SERRINHA
