ANO_ELEICAO;SG_UF;DS_CARGO;TP_AGREMIACAO;DS_COMPOSICAO_COLIGACAO;NM_UE
2020;BA;PREFEITO;COLIGAÇÃO;MDB / PSB / PP;SAUBARA
2020;MG;PREFEITO;COLIGAÇÃO;PSD / PP;ITAPECERICA
2020;CE;PREFEITO;COLIGAÇÃO;PP / CIDADANIA;BARRO
2020;RJ;PREFEITO;COLIGAÇÃO;PDT / PODE / PL / PSB / PSD;ARRAIAL DO CABO
2020;ES;PREFEITO;COLIGAÇÃO;PSB / PSDB / PSD / SOLIDARIEDADE / PP;GOVERNADOR LINDENBERG
2020;SP;PREFEITO;COLIGAÇÃO;MDB / PP / PSD;TABOÃO DA SERRA
2020;SP;PREFEITO;COLIGAÇÃO;DEM / CIDADANIA / PV / PSD;SALES
2020;MG;PREFEITO;COLIGAÇÃO;PSL / PT / PSD;DORES DE CAMPOS
2020;PR;PREFEITO;COLIGAÇÃO;CIDADANIA / PSL / PSDB;MANDAGUARI
2020;PR;PREFEITO;COLIGAÇÃO;PT / PC do B / PSOL;SANTA INÊS
2020;BA;PREFEITO;COLIGAÇÃO;PSOL / PODE;UBAITABA
2020;GO;PREFEITO;COLIGAÇÃO;PMN / PSL;NIQUELÂNDIA
2020;GO;PREFEITO;COLIGAÇÃO;MDB / PSC / PATRIOTA;CAVALCANTE
2020;GO;PREFEITO;COLIGAÇÃO;CIDADANIA / PTB / PSB / PP / PSDB;MORRINHOS
2020;PI;PREFEITO;COLIGAÇÃO;MDB / PSC / PL / SOLIDARIEDADE / PROS;PIRIPIRI
2020;RS;PREFEITO;COLIGAÇÃO;PODE / AVANTE / PTB;SANTO AUGUSTO
2020;RS;PREFEITO;COLIGAÇÃO;MDB / PT / DEM;PRESIDENTE LUCENA
2020;CE;PREFEITO;COLIGAÇÃO;DEM / PP / PODE;BEBERIBE
2020;RJ;PREFEITO;COLIGAÇÃO;PL / PSD;SILVA JARDIM
2020;RS;PREFEITO;COLIGAÇÃO;PSC / PDT / PTB / PSD / PSDB;CACHOEIRINHA
2020;RR;PREFEITO;COLIGAÇÃO;PTB / PODE / PSB / PV;RORAINÓPOLIS
2020;MG;PREFEITO;COLIGAÇÃO;PSD / REPUBLICANOS / PTB / SOLIDARIEDADE / PSDB / DEM;PARAISÓPOLIS
2020;SP;PREFEITO;COLIGAÇÃO;PC do B / PDT;PATROCÍNIO PAULISTA
2020;GO;PREFEITO;COLIGAÇÃO;PSL / PATRIOTA / PSD;GOIÂNIA
2020;MT;PREFEITO;COLIGAÇÃO;PSDB / DEM;GUIRATINGA
2020;RS;PREFEITO;COLIGAÇÃO;MDB / PL / PSB;IJUÍ
2020;AC;PREFEITO;COLIGAÇÃO;PSL / PSDB / PSD / PL;ACRELÂNDIA
2020;PR;PREFEITO;COLIGAÇÃO;PSB / PTB / DEM / PDT;ALTO PIQUIRI
2020;PB;PREFEITO;COLIGAÇÃO;PL / PSDB / PV;CRUZ DO ESPÍRITO SANTO
2020;PR;PREFEITO;COLIGAÇÃO;MDB / PODE / PL;MALLET
2020;CE;PREFEITO;COLIGAÇÃO;PT / PSB / PL / PSD;TAUÁ
2020;BA;PREFEITO;COLIGAÇÃO;DC / PTB;CRISÓPOLIS
2020;CE;PREFEITO;COLIGAÇÃO;PDT / PSDB;SALITRE
2020;CE;PREFEITO;COLIGAÇÃO;REPUBLICANOS / PT / PTB / PSB;NOVA OLINDA
2020;GO;PREFEITO;COLIGAÇÃO;AVANTE / PSB;QUIRINÓPOLIS
2020;AM;PREFEITO;COLIGAÇÃO;PSD / REPUBLICANOS / PT / PSDB;TABATINGA
2020;MG;PREFEITO;COLIGAÇÃO;PTB / PSB / PDT;NOVA BELÉM
2020;SP;PREFEITO;COLIGAÇÃO;PSL / PT / PDT / PRTB / PODE / PSC;BOFETE
2020;GO;PREFEITO;COLIGAÇÃO;PSC / PSL / SOLIDARIEDADE;AURILÂNDIA
2020;AL;PREFEITO;COLIGAÇÃO;PL / PRTB;BELO MONTE
2020;BA;PREFEITO;COLIGAÇÃO;DEM / REPUBLICANOS / PP / PT / PSL / CIDADANIA / PSDB;COCOS
2020;RS;PREFEITO;COLIGAÇÃO;PDT / PSD;JACUIZINHO
2020;SP;PREFEITO;COLIGAÇÃO;PT / PSB / PC do B;IBITINGA
2020;PR;PREFEITO;COLIGAÇÃO;PT / PATRIOTA / PROS / PC do B;FRANCISCO ALVES
2020;MS;PREFEITO;COLIGAÇÃO;REPUBLICANOS / PROS;SONORA
2020;RN;PREFEITO;COLIGAÇÃO;MDB / DEM / PSB;NOVA CRUZ
2020;RS;PREFEITO;COLIGAÇÃO;PC do B / PDT / PTB;CACHOEIRA DO SUL
2020;MG;PREFEITO;COLIGAÇÃO;PDT / PMB / PSC / PV;CAIANA
2020;MG;PREFEITO;COLIGAÇÃO;DEM / PSB / PL / PSD;SÃO FRANCISCO
2020;RJ;PREFEITO;COLIGAÇÃO;PSDB / PSC / MDB / PT / PSD / CIDADANIA / REPUBLICANOS / PDT;VALENÇA
2020;TO;PREFEITO;COLIGAÇÃO;MDB / PSL / PSDB / PSD / PL;OLIVEIRA DE FÁTIMA
2020;SP;PREFEITO;COLIGAÇÃO;CIDADANIA / PL;VARGEM
2020;TO;PREFEITO;COLIGAÇÃO;DEM / PSDB / REPUBLICANOS;NOVO ALEGRE
2020;RS;PREFEITO;COLIGAÇÃO;PTB / PSDB;MORRINHOS DO SUL
2020;GO;PREFEITO;COLIGAÇÃO;PSL / PSC / PATRIOTA;SENADOR CANEDO
2020;MG;PREFEITO;COLIGAÇÃO;MDB / PP;CRUZEIRO DA FORTALEZA
2020;BA;PREFEITO;COLIGAÇÃO;PSD / DEM;CANDEIAS
2020;PE;PREFEITO;COLIGAÇÃO;PSL / PT / MDB / PSC / PROS;SANTA MARIA DA BOA VISTA
2020;MT;PREFEITO;COLIGAÇÃO;PC do B / REPUBLICANOS;MATUPÁ
2020;GO;PREFEITO;COLIGAÇÃO;PTB / DEM / PSDB / PSD;SANTA ROSA DE GOIÁS
2020;PR;PREFEITO;COLIGAÇÃO;PDT / PSB;ARIRANHA DO IVAÍ
2020;CE;PREFEITO;COLIGAÇÃO;PDT / PP / PSDB;QUIXERAMOBIM
2020;ES;PREFEITO;COLIGAÇÃO;PODE / PSB;IRUPI
2020;GO;PREFEITO;COLIGAÇÃO;PP / MDB / CIDADANIA;CAMPO ALEGRE DE GOIÁS
2020;PI;PREFEITO;COLIGAÇÃO;MDB / PTB;COLÔNIA DO PIAUÍ
2020;PR;PREFEITO;COLIGAÇÃO;PT / PSL / PSB / PSDB;MARINGÁ
