ANO_ELEICAO;SG_UF;DS_CARGO;TP_AGREMIACAO;DS_COMPOSICAO_COLIGACAO;NM_UE
2004;SP;PREFEITO;COLIGA플O;PDT / PTB / PSC / PL / PPS;SAO JOAO DA BOA VISTA
2004;SP;PREFEITO;COLIGA플O;PPS / PSDB / PSDC / PSL / PC do B / PT;SAO JOSE DA BELA VISTA
2004;SP;PREFEITO;COLIGA플O;PP / PDT / PTB / PMDB / PSL / PTN / PL / PRTB / PHS / PC do B;SAO MANUEL
2004;SP;PREFEITO;COLIGA플O;PP / PDT / PTB / PMDB / PSL / PTN / PSC / PL / PPS / PFL / PAN / PSDC / PRTB / PHS / PMN / PTC / PSB / PV / PRP / PSDB / PC do B / PT do B;SAO VICENTE
2004;SP;PREFEITO;COLIGA플O;PP / PDT / PTB / PMDB / PSL / PTN / PSC / PL / PPS / PFL / PAN / PSDC / PRTB / PHS / PMN / PTC / PSB / PV / PRP / PSDB / PC do B / PT do B;SAO VICENTE
2004;SP;PREFEITO;COLIGA플O;PT / PPS / PFL;SARAPUI
2004;SP;PREFEITO;COLIGA플O;PP / PHS / PSB / PV / PSDB;UCHOA
2004;SP;PREFEITO;COLIGA플O;PP / PDT / PSC / PL / PSDC / PV / PRP;VALINHOS
2004;RN;PREFEITO;COLIGA플O;PT / PL;SAO BENTO DO TRAIRI
2004;RN;PREFEITO;COLIGA플O;PPS / PFL / PTB;SAO VICENTE
2004;RN;PREFEITO;COLIGA플O;PMDB / PT;SEVERIANO MELO
2004;BA;PREFEITO;COLIGA플O;PL / PP / PSL / PTN / PSC / PSDC / PRTB / PMN / PTC;SOBRADINHO
2004;BA;PREFEITO;COLIGA플O;PL / PP / PSL / PTN / PSC / PSDC / PRTB / PMN / PTC;SOBRADINHO
2004;CE;PREFEITO;COLIGA플O;PP / PDT / PT / PTB / PSB;GRACA
2004;CE;PREFEITO;COLIGA플O;PT / PFL / PP / PV / PRP;BARREIRA
2004;CE;PREFEITO;COLIGA플O;PHS / PFL / PTN / PMN / PMDB / PSL / PT / PV / PPS;ACARAPE
2004;MT;PREFEITO;COLIGA플O;PDT / PFL / PAN / PSB;NOBRES
2004;MT;PREFEITO;COLIGA플O;PSL / PTN / PSC / PPS / PFL / PSDC / PRTB / PHS / PTC / PV / PRP / PSDB;RONDONOPOLIS
2004;SC;PREFEITO;COLIGA플O;PP / PDT / PT / PFL;GUARUJA DO SUL
2004;SC;PREFEITO;COLIGA플O;PP / PDT / PMDB / PSDB;SANTA TEREZINHA DO PROGRESSO
2004;PR;PREFEITO;COLIGA플O;PDT / PTB / PMDB / PSL / PTN / PSC / PL / PSB / PV / PRP / PSDB / PC do B;PIRAQUARA
2004;TO;PREFEITO;COLIGA플O;PP / PT / PMDB / PL / PFL / PRTB;RECURSOLANDIA
2004;TO;PREFEITO;COLIGA플O;PP / PTB / PL / PFL / PRTB / PSDB;BRASILANDIA DO TOCANTINS
2004;TO;PREFEITO;COLIGA플O;PP / PTB / PL / PFL / PRTB / PSB;ARAGOMINAS
2004;TO;PREFEITO;COLIGA플O;PDT / PSL / PSC / PL / PFL / PSDB;SANTA FE DO ARAGUAIA
2004;RS;PREFEITO;COLIGA플O;PT / PPS;PIRATINI
2004;RS;PREFEITO;COLIGA플O;PDT / PP;CHUVISCA
2004;MA;PREFEITO;COLIGA플O;PDT / PMDB / PSDB;AMAPA DO MARANHAO
2004;MA;PREFEITO;COLIGA플O;PP / PV / PRONA;ARARI
2004;MG;PREFEITO;COLIGA플O;PMDB / PSL / PSC / PCO / PHS / PMN / PTC / PRONA / PT do B;CONTAGEM
2004;MG;PREFEITO;COLIGA플O;PMDB / PSL / PSC / PCO / PHS / PMN / PTC / PRONA / PT do B;CONTAGEM
2004;MG;PREFEITO;COLIGA플O;PTB / PPS / PFL / PAN / PRTB / PMN / PV / PC do B;CORACAO DE JESUS
2004;MG;PREFEITO;COLIGA플O;PMDB / PSDB / PDT / PFL / PTB / PMN / PL;GALILEIA
2004;MG;PREFEITO;COLIGA플O;PMDB / PSC / PL / PSDB;GONZAGA
